month_number,part_of_week,start_station,dest_station,2017,2018,diff_2017_to_2018,diff_pct_2017_to_2018,categorical_from_station,categorical_dest_station,from_station_full,to_station_full
1,weekday,BP,24,554.95,500.2380952380952,-54.71190476190486,0.9014111095379677,BP,24,Balboa Park,24th Street Mission
1,weekday,BP,AS,42.35,40.857142857142854,-1.4928571428571473,0.9647495361781075,BP,AS,Balboa Park,Ashby
1,weekday,BP,BF,45.25,48.42857142857143,3.1785714285714306,1.0702446724546173,BP,BF,Balboa Park,Bayfair
1,weekday,BP,BK,111.9,102.5238095238095,-9.376190476190501,0.9162092003915058,BP,BK,Balboa Park,Berkeley
1,weekday,BP,BP,53.7,38.61904761904762,-15.080952380952382,0.7191628979338477,BP,BP,Balboa Park,Balboa Park
1,weekday,BP,CC,1325.6,1226.7142857142858,-98.88571428571413,0.9254030519872404,BP,CC,Balboa Park,Civic Center
1,weekday,BP,CL,69.9,67.85714285714286,-2.0428571428571445,0.9707745759247906,BP,CL,Balboa Park,Coliseum
1,weekday,BP,CM,78.9,77.80952380952381,-1.0904761904761955,0.9861790089926972,BP,CM,Balboa Park,Colma
1,weekday,BP,CN,47.85,52.23809523809525,4.3880952380952465,1.0917052296362644,BP,CN,Balboa Park,Concord
1,weekday,BP,CV,17.85,20.571428571428573,2.7214285714285715,1.1524609843937574,BP,CV,Balboa Park,Castro Valley
1,weekday,BP,DC,108.0,102.09523809523809,-5.904761904761912,0.9453262786596119,BP,DC,Balboa Park,Daly City
1,weekday,BP,ED,64.8,72.42857142857143,7.628571428571433,1.117724867724868,BP,ED,Balboa Park,Dublin/Pleasanton
1,weekday,BP,EM,1515.55,1507.333333333333,-8.216666666666924,0.9945784258739949,BP,EM,Balboa Park,Embarcadero
1,weekday,BP,EN,109.1,100.38095238095238,-8.719047619047615,0.920082056654009,BP,EN,Balboa Park,El Cerrito Del Norte
1,weekday,BP,EP,39.35,35.19047619047619,-4.159523809523812,0.8942941852725842,BP,EP,Balboa Park,El Cerrito Plaza
1,weekday,BP,FM,37.5,31.857142857142854,-5.642857142857146,0.8495238095238095,BP,FM,Balboa Park,Fremont
1,weekday,BP,FV,94.95,87.5238095238095,-7.426190476190499,0.9217884099400685,BP,FV,Balboa Park,Fruitvale
1,weekday,BP,GP,119.4,116.09523809523809,-3.304761904761918,0.9723219270957963,BP,GP,Balboa Park,Glen Park
1,weekday,BP,HY,43.5,36.0,-7.5,0.8275862068965517,BP,HY,Balboa Park,Hayward
1,weekday,BP,LF,12.2,11.666666666666664,-0.533333333333335,0.9562841530054643,BP,LF,Balboa Park,Lafayette
1,weekday,BP,LM,74.55,86.5238095238095,11.973809523809507,1.1606144805339975,BP,LM,Balboa Park,Lake Merritt
1,weekday,BP,MA,77.8,83.14285714285714,5.342857142857142,1.0686742563349247,BP,MA,Balboa Park,MacArthur
1,weekday,BP,MB,175.7,160.9047619047619,-14.79523809523809,0.9157926118654633,BP,MB,Balboa Park,Millbrae
1,weekday,BP,MT,2521.2,2497.4761904761904,-23.72380952380945,0.9905902706949827,BP,MT,Balboa Park,Montgomery Street
